Salt,Temperature_C,Molality_molkg,Pressure_MPa,m_free_K,m_free_Cl,m_free_Na,m_free_Mg,m_free_SO4,m_free_NH4,m_free_Ca,m_pair_KSO4,m_pair_NaSO4,m_pair_MgSO4,I_eff,I_formal
CaCl2,90.0,0.000755,0.1,0.0,0.0015100000181927,0.0,0.0,0.0,0.0,0.0007550000090963,0.0,0.0,0.0,0.0022656687760754,0.002265
CaCl2,90.0,0.00755,0.1,0.0,0.0151000002056799,0.0,0.0,0.0,0.0,0.0075500001028399,0.0,0.0,0.0,0.0226507563690073,0.02265
CaCl2,90.0,0.0755,0.1,0.0,0.1510000027857113,0.0,0.0,0.0,0.0,0.0755000013928556,0.0,0.0,0.0,0.2265010281805275,0.2264999999999999
CaCl2,90.0,0.3773,0.1,0.0,0.7546000204577222,0.0,0.0,0.0,0.0,0.3773000102288611,0.0,0.0,0.0,1.1319015354980853,1.1319
CaSO4,5.0,7.6e-05,0.1,0.0,0.0,0.0,0.0,7.599982754672085e-05,0.0,7.600000006043318e-05,0.0,0.0,0.0,0.0003040437910999,0.000304
CaSO4,5.0,0.00102,0.1,0.0,0.0,0.0,0.0,0.0010199980583667,0.0,0.0010200000008703,0.0,0.0,0.0,0.0040800434782809,0.00408
CaSO4,5.0,0.01245,0.1,0.0,0.0,0.0,0.0,0.0124499860275342,0.0,0.0124500000138894,0.0,0.0,0.0,0.0498000340053796,0.0498
CaSO4,10.0,7.6e-05,0.1,0.0,0.0,0.0,0.0,7.599975388995517e-05,0.0,7.60000000759513e-05,0.0,0.0,0.0,0.0003040549773916,0.000304
CaSO4,10.0,0.00102,0.1,0.0,0.0,0.0,0.0,0.0010199972363223,0.0,0.0010200000010969,0.0,0.0,0.0,0.004080054164801,0.00408
CaSO4,10.0,0.01245,0.1,0.0,0.0,0.0,0.0,0.0124499803967551,0.0,0.0124500000177341,0.0,0.0,0.0,0.0498000398925505,0.0498
CaSO4,25.0,7.6e-05,0.1,0.0,0.0,0.0,0.0,7.599931861191742e-05,0.0,7.600000014110611e-05,0.0,0.0,0.0,0.0003041016924633,0.000304
CaSO4,25.0,0.00102,0.1,0.0,0.0,0.0,0.0,0.001019992444879,0.0,0.0010200000020608,0.0,0.0,0.0,0.0040800970374205,0.00408
CaSO4,25.0,0.01245,0.1,0.0,0.0,0.0,0.0,0.0124499491709572,0.0,0.0124500000349445,0.0,0.0,0.0,0.0498000542047836,0.0498
