Salt,Temperature_C,Molality_molkg,Pressure_MPa,m_free_K,m_free_Cl,m_free_Na,m_free_Mg,m_free_SO4,m_free_NH4,m_free_Ca,m_pair_KSO4,m_pair_NaSO4,m_pair_MgSO4,I_eff,I_formal
CaCl2,90.0,0.000755,0.1,0.0,0.0015086770074341062,0.0,0.0,0.0,0.0,0.0007536380385845274,0.0,0.0,0.0,0.002262935089063574,0.002265
CaCl2,90.0,0.00755,0.1,0.0,0.014998651759212838,0.0,0.0,0.0,0.0,0.007448381353817455,0.0,0.0,0.0,0.022447593324409182,0.02265
CaCl2,90.0,0.0755,0.1,0.0,0.144515773653345,0.0,0.0,0.0,0.0,0.0690145895380362,0.0,0.0,0.0,0.2135307408365258,0.22649999999999998
CaCl2,90.0,0.3773,0.1,0.0,0.6326268624316631,0.0,0.0,0.0,0.0,0.25532403337056164,0.0,0.0,0.0,0.8879511176736229,1.1319000000000001
CaSO4,5.0,7.6e-05,0.1,0.0,0.0,0.0,0.0,7.543858826014287e-05,0.0,7.543874037271628e-05,0.0,0.0,0.0,0.0003017989368920368,0.000304
CaSO4,5.0,0.00102,0.1,0.0,0.0,0.0,0.0,0.0009605167391447693,0.0,0.0009605183670994227,0.0,0.0,0.0,0.003842117832430722,0.00408
CaSO4,5.0,0.01245,0.1,0.0,0.0,0.0,0.0,0.010189844106552206,0.0,0.010189855308465876,0.0,0.0,0.0,0.04075945983815185,0.0498
CaSO4,10.0,7.6e-05,0.1,0.0,0.0,0.0,0.0,7.542978486467042e-05,0.0,7.54299978266496e-05,0.0,0.0,0.0,0.00030177524064267116,0.000304
CaSO4,10.0,0.00102,0.1,0.0,0.0,0.0,0.0,0.0009591031041699997,0.0,0.0009591053855899215,0.0,0.0,0.0,0.0038364769365804635,0.00408
CaSO4,10.0,0.01245,0.1,0.0,0.0,0.0,0.0,0.01010814672590796,0.0,0.010108162203850574,0.0,0.0,0.0,0.04043269552883497,0.0498
CaSO4,25.0,7.6e-05,0.1,0.0,0.0,0.0,0.0,7.537390480276368e-05,0.0,7.537448070033217e-05,0.0,0.0,0.0,0.0003015997308627013,0.000304
CaSO4,25.0,0.00102,0.1,0.0,0.0,0.0,0.0,0.0009520683447072277,0.0,0.0009520744773879812,0.0,0.0,0.0,0.0038083974080818793,0.00408
