Salt,Source,Source_Type,Temperature_C,Pressure_MPa,Molality_molkg,Conductivity_mScm,Notes,Replicate,Mixture,Conductivity_Ratio
NaCl,Mahboub,experimental,25.0,0.1,0.1711,17.727,,,False,
NaCl,Mahboub,experimental,-10.0,0.1,0.5133,21.743,,,False,
NaCl,Mahboub,experimental,-6.0,0.1,0.5133,23.533,,,False,
NaCl,Mahboub,experimental,-3.0,0.1,0.5133,25.05,,,False,
NaCl,Mahboub,experimental,-1.0,0.1,0.5133,26.99,,,False,
NaCl,Mahboub,experimental,5.0,0.1,0.5133,31.343,,,False,
NaCl,Mahboub,experimental,20.0,0.1,0.5133,44.307,,,False,
NaCl,Mahboub,experimental,25.0,0.1,0.5133,48.737,,,False,
NaCl,Mahboub,experimental,-10.0,0.1,0.8556,31.82,,,False,
NaCl,Mahboub,experimental,-6.0,0.1,0.8556,35.487,,,False,
NaCl,Mahboub,experimental,-3.0,0.1,0.8556,39.44,,,False,
NaCl,Mahboub,experimental,-1.0,0.1,0.8556,41.137,,,False,
NaCl,Mahboub,experimental,5.0,0.1,0.8556,48.517,,,False,
NaCl,Mahboub,experimental,20.0,0.1,0.8556,68.43,,,False,
NaCl,Mahboub,experimental,25.0,0.1,0.8556,75.273,,,False,
NaCl,Mahboub,experimental,-10.0,0.1,1.2834,44.507,,,False,
NaCl,Mahboub,experimental,-6.0,0.1,1.2834,51.14,,,False,
NaCl,Mahboub,experimental,-3.0,0.1,1.2834,54.793,,,False,
NaCl,Mahboub,experimental,-1.0,0.1,1.2834,56.953,,,False,
NaCl,Mahboub,experimental,5.0,0.1,1.2834,68.403,,,False,
NaCl,Mahboub,experimental,20.0,0.1,1.2834,95.8,,,False,
NaCl,Mahboub,experimental,25.0,0.1,1.2834,105.38,,,False,
NaCl,Mahboub,experimental,-10.0,0.1,1.7112,57.47,,,False,
NaCl,Mahboub,experimental,-6.0,0.1,1.7112,63.817,,,False,
NaCl,Mahboub,experimental,-3.0,0.1,1.7112,70.06,,,False,
NaCl,Mahboub,experimental,-1.0,0.1,1.7112,71.93,,,False,
NaCl,Mahboub,experimental,5.0,0.1,1.7112,86.653,,,False,
NaCl,Mahboub,experimental,20.0,0.1,1.7112,120.5,,,False,
NaCl,Mahboub,experimental,25.0,0.1,1.7112,132.55,,,False,
NaCl,Mahboub,experimental,-10.0,0.1,2.5667,76.64,,,False,
NaCl,Mahboub,experimental,-6.0,0.1,2.5667,85.2,,,False,
NaCl,Mahboub,experimental,-3.0,0.1,2.5667,92.313,,,False,
NaCl,Mahboub,experimental,-1.0,0.1,2.5667,95.45,,,False,
NaCl,Mahboub,experimental,5.0,0.1,2.5667,113.4,,,False,
NaCl,Mahboub,experimental,20.0,0.1,2.5667,160.033,,,False,
NaCl,Mahboub,experimental,25.0,0.1,2.5667,176.037,,,False,
NH4Cl,Mahboub,experimental,-10.0,0.1,0.187,9.741,,,False,
NH4Cl,Mahboub,experimental,-6.0,0.1,0.187,11.877,,,False,
NH4Cl,Mahboub,experimental,-3.0,0.1,0.187,12.603,,,False,
NH4Cl,Mahboub,experimental,-1.0,0.1,0.187,13.343,,,False,
NH4Cl,Mahboub,experimental,5.0,0.1,0.187,15.493,,,False,
NH4Cl,Mahboub,experimental,20.0,0.1,0.187,21.16,,,False,
NH4Cl,Mahboub,experimental,25.0,0.1,0.187,23.276,,,False,
NH4Cl,Mahboub,experimental,-10.0,0.1,0.9348,47.517,,,False,
NH4Cl,Mahboub,experimental,-6.0,0.1,0.9348,52.71,,,False,
NH4Cl,Mahboub,experimental,-3.0,0.1,0.9348,55.857,,,False,
NH4Cl,Mahboub,experimental,-1.0,0.1,0.9348,59.827,,,False,
NH4Cl,Mahboub,experimental,5.0,0.1,0.9348,69.087,,,False,
NH4Cl,Mahboub,experimental,20.0,0.1,0.9348,94.327,,,False,
NH4Cl,Mahboub,experimental,25.0,0.1,0.9348,103.759,,,False,
NH4Cl,Mahboub,experimental,-10.0,0.1,1.4021,69.42,,,False,
NH4Cl,Mahboub,experimental,-6.0,0.1,1.4021,76.387,,,False,
NH4Cl,Mahboub,experimental,-3.0,0.1,1.4021,82.28,,,False,
NH4Cl,Mahboub,experimental,-1.0,0.1,1.4021,86.027,,,False,
NH4Cl,Mahboub,experimental,5.0,0.1,1.4021,99.713,,,False,
NH4Cl,Mahboub,experimental,20.0,0.1,1.4021,135.0,,,False,
NH4Cl,Mahboub,experimental,25.0,0.1,1.4021,148.5,,,False,
NH4Cl,Mahboub,experimental,-10.0,0.1,1.8005,90.34,,,False,
NH4Cl,Mahboub,experimental,-6.0,0.1,1.8005,99.22,,,False,
NH4Cl,Mahboub,experimental,-3.0,0.1,1.8005,106.4,,,False,
NH4Cl,Mahboub,experimental,-1.0,0.1,1.8005,112.643,,,False,
NH4Cl,Mahboub,experimental,5.0,0.1,1.8005,130.533,,,False,
NH4Cl,Mahboub,experimental,20.0,0.1,1.8005,173.867,,,False,
NH4Cl,Mahboub,experimental,25.0,0.1,1.8005,191.253,,,False,
Na2CO3,Mahboub,experimental,-6.0,0.1,0.0472,3.786,,,False,
Na2CO3,Mahboub,experimental,-3.0,0.1,0.0472,6.199,,,False,
Na2CO3,Mahboub,experimental,-1.0,0.1,0.0472,6.55,,,False,
Na2CO3,Mahboub,experimental,5.0,0.1,0.0472,5.143,,,False,
Na2CO3,Mahboub,experimental,20.0,0.1,0.0472,7.475,,,False,
Na2CO3,Mahboub,experimental,25.0,0.1,0.0472,8.222,,,False,
Na2CO3,Mahboub,experimental,-10.0,0.1,0.0943,5.329,,,False,
Na2CO3,Mahboub,experimental,-6.0,0.1,0.0943,6.548,,,False,
Na2CO3,Mahboub,experimental,-3.0,0.1,0.0943,11.038,,,False,
Na2CO3,Mahboub,experimental,-1.0,0.1,0.0943,11.667,,,False,
Na2CO3,Mahboub,experimental,5.0,0.1,0.0943,9.145,,,False,
Na2CO3,Mahboub,experimental,20.0,0.1,0.0943,13.323,,,False,
Na2CO3,Mahboub,experimental,25.0,0.1,0.0943,14.656,,,False,
Na2CO3,Mahboub,experimental,-10.0,0.1,0.2359,11.184,,,False,
Na2CO3,Mahboub,experimental,-6.0,0.1,0.2359,14.057,,,False,
Na2CO3,Mahboub,experimental,-3.0,0.1,0.2359,23.587,,,False,
Na2CO3,Mahboub,experimental,-1.0,0.1,0.2359,24.5,,,False,
Na2CO3,Mahboub,experimental,5.0,0.1,0.2359,18.973,,,False,
Na2CO3,Mahboub,experimental,20.0,0.1,0.2359,27.96,,,False,
Na2CO3,Mahboub,experimental,25.0,0.1,0.2359,30.756,,,False,
Na2CO3,Mahboub,experimental,-10.0,0.1,0.3774,15.959,,,False,
Na2CO3,Mahboub,experimental,-6.0,0.1,0.3774,19.567,,,False,
Na2CO3,Mahboub,experimental,-3.0,0.1,0.3774,33.086,,,False,
Na2CO3,Mahboub,experimental,-1.0,0.1,0.3774,34.942,,,False,
Na2CO3,Mahboub,experimental,5.0,0.1,0.3774,26.77,,,False,
Na2CO3,Mahboub,experimental,20.0,0.1,0.3774,39.897,,,False,
Na2CO3,Mahboub,experimental,25.0,0.1,0.3774,43.886,,,False,
Na2CO3,Mahboub,experimental,-6.0,0.1,0.5189,24.18,,,False,
Na2CO3,Mahboub,experimental,-3.0,0.1,0.5189,11.115,,,False,
Na2CO3,Mahboub,experimental,-1.0,0.1,0.5189,43.401,,,False,
Na2CO3,Mahboub,experimental,5.0,0.1,0.5189,33.867,,,False,
Na2CO3,Mahboub,experimental,20.0,0.1,0.5189,49.557,,,False,
Na2CO3,Mahboub,experimental,25.0,0.1,0.5189,54.512,,,False,
NaCl:MgSO4 (1:1),Mahboub,experimental,-10.0,0.1,0.05,6.065,,,True,
NaCl:MgSO4 (1:1),Mahboub,experimental,-1.0,0.1,0.05,8.441,,,True,
NaCl:MgSO4 (1:1),Mahboub,experimental,20.0,0.1,0.05,13.747,,,True,
NaCl:MgSO4 (1:1),Mahboub,experimental,25.0,0.1,0.05,15.123,,,True,
NaCl:MgSO4 (1:1),Mahboub,experimental,-10.0,0.1,0.1,11.355,,,True,
NaCl:MgSO4 (1:1),Mahboub,experimental,-1.0,0.1,0.1,15.227,,,True,
NaCl:MgSO4 (1:1),Mahboub,experimental,20.0,0.1,0.1,24.587,,,True,
NaCl:MgSO4 (1:1),Mahboub,experimental,25.0,0.1,0.1,27.045,,,True,
NaCl:MgSO4 (1:1),Mahboub,experimental,-10.0,0.1,0.4,32.887,,,True,
NaCl:MgSO4 (1:1),Mahboub,experimental,-1.0,0.1,0.4,40.29,,,True,
NaCl:MgSO4 (1:1),Mahboub,experimental,20.0,0.1,0.4,66.827,,,True,
NaCl:MgSO4 (1:1),Mahboub,experimental,25.0,0.1,0.4,73.509,,,True,
NaCl:MgSO4 (1:1),Mahboub,experimental,-10.0,0.1,0.7,30.87,,,True,
NaCl:MgSO4 (1:1),Mahboub,experimental,-1.0,0.1,0.7,35.753,,,True,
NaCl:MgSO4 (1:1),Mahboub,experimental,20.0,0.1,0.7,58.82,,,True,
NaCl:MgSO4 (1:1),Mahboub,experimental,25.0,0.1,0.7,64.702,,,True,
KCl,Cortes2026,experimental,5.0,0.1,0.5,41.51,0.5 M/L; molality pending local Reaktoro density,1.0,False,
KCl,Cortes2026,experimental,5.0,0.1,0.75,58.56,0.75 M/L; molality pending local Reaktoro density,1.0,False,
KCl,Cortes2026,experimental,5.0,0.1,1.0,77.67,1.0 M/L; molality pending local Reaktoro density,1.0,False,
KCl,Cortes2026,experimental,5.0,0.1,1.5,118.0,1.5 M/L; molality pending local Reaktoro density,1.0,False,
KCl,Cortes2026,experimental,10.0,0.1,0.5,46.78,0.5 M/L; molality pending local Reaktoro density,1.0,False,
KCl,Cortes2026,experimental,10.0,0.1,0.75,64.29,0.75 M/L; molality pending local Reaktoro density,1.0,False,
KCl,Cortes2026,experimental,10.0,0.1,1.0,85.98,1.0 M/L; molality pending local Reaktoro density,1.0,False,
KCl,Cortes2026,experimental,10.0,0.1,1.5,,FLAGGED: dup of 1.0 mol/L value (transcription error); voided; molality pending local Reaktoro density,1.0,False,
KCl,Cortes2026,experimental,20.0,0.1,0.5,55.88,0.5 M/L; molality pending local Reaktoro density,1.0,False,
KCl,Cortes2026,experimental,20.0,0.1,0.75,78.27,0.75 M/L; molality pending local Reaktoro density,1.0,False,
KCl,Cortes2026,experimental,20.0,0.1,1.0,103.33,1.0 M/L; molality pending local Reaktoro density,1.0,False,
KCl,Cortes2026,experimental,20.0,0.1,1.5,151.07,1.5 M/L; molality pending local Reaktoro density,1.0,False,
Na2SO4,Cortes2026,experimental,5.0,0.1,0.5,37.47,0.5 M/L; molality pending local Reaktoro density,1.0,False,
Na2SO4,Cortes2026,experimental,5.0,0.1,0.75,21.98,0.75 M/L; molality pending local Reaktoro density,1.0,False,
Na2SO4,Cortes2026,experimental,10.0,0.1,0.5,41.14,0.5 M/L; molality pending local Reaktoro density,1.0,False,
Na2SO4,Cortes2026,experimental,10.0,0.1,0.75,39.77,0.75 M/L; molality pending local Reaktoro density,1.0,False,
Na2SO4,Cortes2026,experimental,20.0,0.1,0.5,57.83,0.5 M/L; molality pending local Reaktoro density,1.0,False,
Na2SO4,Cortes2026,experimental,20.0,0.1,0.75,75.74,0.75 M/L; molality pending local Reaktoro density,1.0,False,
NaCl,Cortes2026,experimental,20.0,0.1,0.5,43.68,"0.5 M/L, replicate 1; molality pending local Reaktoro density",1.0,False,
NaCl,Cortes2026,experimental,20.0,0.1,0.5,43.65,"0.5 M/L, replicate 2; molality pending local Reaktoro density",2.0,False,
NaCl,Cortes2026,experimental,20.0,0.1,0.5,43.66,"0.5 M/L, replicate 3; molality pending local Reaktoro density",3.0,False,
NaCl,Cortes2026,experimental,20.0,0.1,0.5,45.86,"0.5 M/L, replicate 4; molality pending local Reaktoro density",4.0,False,
NaCl,Cortes2026,experimental,20.0,0.1,0.5,45.79,"0.5 M/L, replicate 5; molality pending local Reaktoro density",5.0,False,
NaCl,Cortes2026,experimental,20.0,0.1,0.5,45.76,"0.5 M/L, replicate 6; molality pending local Reaktoro density",6.0,False,
NaCl,Cortes2026,experimental,20.0,0.1,0.75,63.54,"0.75 M/L, replicate 1; molality pending local Reaktoro density",1.0,False,
NaCl,Cortes2026,experimental,20.0,0.1,0.75,63.18,"0.75 M/L, replicate 2; molality pending local Reaktoro density",2.0,False,
NaCl,Cortes2026,experimental,20.0,0.1,0.75,63.26,"0.75 M/L, replicate 3; molality pending local Reaktoro density",3.0,False,
NaCl,Cortes2026,experimental,20.0,0.1,0.75,64.69,"0.75 M/L, replicate 4; molality pending local Reaktoro density",4.0,False,
NaCl,Cortes2026,experimental,20.0,0.1,0.75,64.59,"0.75 M/L, replicate 5; molality pending local Reaktoro density",5.0,False,
NaCl,Cortes2026,experimental,20.0,0.1,0.75,64.57,"0.75 M/L, replicate 6; molality pending local Reaktoro density",6.0,False,
NaCl,Cortes2026,experimental,20.0,0.1,1.0,80.27,"1.0 M/L, replicate 1; molality pending local Reaktoro density",1.0,False,
NaCl,Cortes2026,experimental,20.0,0.1,1.0,80.33,"1.0 M/L, replicate 2; molality pending local Reaktoro density",2.0,False,
NaCl,Cortes2026,experimental,20.0,0.1,1.0,80.39,"1.0 M/L, replicate 3; molality pending local Reaktoro density",3.0,False,
NaCl,Cortes2026,experimental,20.0,0.1,1.0,83.99,"1.0 M/L, replicate 4; molality pending local Reaktoro density",4.0,False,
NaCl,Cortes2026,experimental,20.0,0.1,1.0,84.31,"1.0 M/L, replicate 5; molality pending local Reaktoro density",5.0,False,
NaCl,Cortes2026,experimental,20.0,0.1,1.0,84.29,"1.0 M/L, replicate 6; molality pending local Reaktoro density",6.0,False,
NaCl,Cortes2026,experimental,20.0,0.1,1.5,114.5,"1.5 M/L, replicate 1; molality pending local Reaktoro density",1.0,False,
NaCl,Cortes2026,experimental,20.0,0.1,1.5,114.2,"1.5 M/L, replicate 2; molality pending local Reaktoro density",2.0,False,
NaCl,Cortes2026,experimental,20.0,0.1,1.5,114.3,"1.5 M/L, replicate 3; molality pending local Reaktoro density",3.0,False,
NaCl,Cortes2026,experimental,20.0,0.1,1.5,116.3,"1.5 M/L, replicate 4; molality pending local Reaktoro density",4.0,False,
NaCl,Cortes2026,experimental,20.0,0.1,1.5,116.6,"1.5 M/L, replicate 5; molality pending local Reaktoro density",5.0,False,
NaCl,Cortes2026,experimental,20.0,0.1,1.5,116.8,"1.5 M/L, replicate 6; molality pending local Reaktoro density",6.0,False,
MgSO4,Larionov1984,experimental,24.850000000000023,0.1,0.01,1.549098,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density",,False,
MgSO4,Larionov1984,experimental,49.85000000000002,0.1,0.01,2.422089,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density",,False,
MgSO4,Larionov1984,experimental,74.85000000000002,0.1,0.01,3.296989,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density",,False,
MgSO4,Larionov1984,experimental,99.85000000000002,0.1,0.01,4.025292,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density",,False,
MgSO4,Larionov1984,experimental,124.85000000000002,0.1,0.01,4.416461,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density; density reuses 373K value (PlanetProfile EOS kluge)",,False,
MgSO4,Larionov1984,experimental,149.85000000000002,0.1,0.01,4.378952,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density; density reuses 373K value (PlanetProfile EOS kluge)",,False,
MgSO4,Larionov1984,derived,-0.15,0.1,0.01,0.810758,"DERIVED, NOT MEASURED: 273K column manufactured as 0.525 x 298K value (Hand & Chyba 2007), per PlanetProfile. Exclude from model tests.",,False,
MgSO4,Larionov1984,experimental,24.850000000000023,98.1,0.01,1.699549,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density",,False,
MgSO4,Larionov1984,experimental,49.85000000000002,98.1,0.01,2.562151,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density",,False,
MgSO4,Larionov1984,experimental,74.85000000000002,98.1,0.01,3.468604,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density",,False,
MgSO4,Larionov1984,experimental,99.85000000000002,98.1,0.01,4.326872,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density",,False,
MgSO4,Larionov1984,experimental,124.85000000000002,98.1,0.01,4.844168,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density; density reuses 373K value (PlanetProfile EOS kluge)",,False,
MgSO4,Larionov1984,experimental,149.85000000000002,98.1,0.01,5.060512,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density; density reuses 373K value (PlanetProfile EOS kluge)",,False,
MgSO4,Larionov1984,derived,-0.15,98.1,0.01,0.889502,"DERIVED, NOT MEASURED: 273K column manufactured as 0.525 x 298K value (Hand & Chyba 2007), per PlanetProfile. Exclude from model tests.",,False,
MgSO4,Larionov1984,experimental,24.850000000000023,196.1,0.01,1.744919,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density",,False,
MgSO4,Larionov1984,experimental,49.85000000000002,196.1,0.01,2.608784,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density",,False,
MgSO4,Larionov1984,experimental,74.85000000000002,196.1,0.01,3.530083,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density",,False,
MgSO4,Larionov1984,experimental,99.85000000000002,196.1,0.01,4.442304,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density",,False,
MgSO4,Larionov1984,experimental,124.85000000000002,196.1,0.01,5.063156,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density; density reuses 373K value (PlanetProfile EOS kluge)",,False,
MgSO4,Larionov1984,experimental,149.85000000000002,196.1,0.01,5.431385,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density; density reuses 373K value (PlanetProfile EOS kluge)",,False,
MgSO4,Larionov1984,derived,-0.15,196.1,0.01,0.913157,"DERIVED, NOT MEASURED: 273K column manufactured as 0.525 x 298K value (Hand & Chyba 2007), per PlanetProfile. Exclude from model tests.",,False,
MgSO4,Larionov1984,experimental,24.850000000000023,294.2,0.01,1.739217,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density",,False,
MgSO4,Larionov1984,experimental,49.85000000000002,294.2,0.01,2.598337,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density",,False,
MgSO4,Larionov1984,experimental,74.85000000000002,294.2,0.01,3.533803,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density",,False,
MgSO4,Larionov1984,experimental,99.85000000000002,294.2,0.01,4.462394,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density",,False,
MgSO4,Larionov1984,experimental,124.85000000000002,294.2,0.01,5.142827,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density; density reuses 373K value (PlanetProfile EOS kluge)",,False,
MgSO4,Larionov1984,experimental,149.85000000000002,294.2,0.01,5.616775,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density; density reuses 373K value (PlanetProfile EOS kluge)",,False,
MgSO4,Larionov1984,derived,-0.15,294.2,0.01,0.910084,"DERIVED, NOT MEASURED: 273K column manufactured as 0.525 x 298K value (Hand & Chyba 2007), per PlanetProfile. Exclude from model tests.",,False,
MgSO4,Larionov1984,experimental,24.850000000000023,392.3,0.01,1.704341,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density",,False,
MgSO4,Larionov1984,experimental,49.85000000000002,392.3,0.01,2.557762,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density",,False,
MgSO4,Larionov1984,experimental,74.85000000000002,392.3,0.01,3.487408,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density",,False,
MgSO4,Larionov1984,experimental,99.85000000000002,392.3,0.01,4.428526,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density",,False,
MgSO4,Larionov1984,experimental,124.85000000000002,392.3,0.01,5.143804,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density; density reuses 373K value (PlanetProfile EOS kluge)",,False,
MgSO4,Larionov1984,experimental,149.85000000000002,392.3,0.01,5.686945,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density; density reuses 373K value (PlanetProfile EOS kluge)",,False,
MgSO4,Larionov1984,derived,-0.15,392.3,0.01,0.891835,"DERIVED, NOT MEASURED: 273K column manufactured as 0.525 x 298K value (Hand & Chyba 2007), per PlanetProfile. Exclude from model tests.",,False,
MgSO4,Larionov1984,experimental,24.850000000000023,490.3,0.01,1.644671,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density",,False,
MgSO4,Larionov1984,experimental,49.85000000000002,490.3,0.01,2.490883,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density",,False,
MgSO4,Larionov1984,experimental,74.85000000000002,490.3,0.01,3.412057,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density",,False,
MgSO4,Larionov1984,experimental,99.85000000000002,490.3,0.01,4.351357,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density",,False,
MgSO4,Larionov1984,experimental,124.85000000000002,490.3,0.01,5.08442,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density; density reuses 373K value (PlanetProfile EOS kluge)",,False,
MgSO4,Larionov1984,experimental,149.85000000000002,490.3,0.01,5.672152,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density; density reuses 373K value (PlanetProfile EOS kluge)",,False,
MgSO4,Larionov1984,derived,-0.15,490.3,0.01,0.860527,"DERIVED, NOT MEASURED: 273K column manufactured as 0.525 x 298K value (Hand & Chyba 2007), per PlanetProfile. Exclude from model tests.",,False,
MgSO4,Larionov1984,experimental,24.850000000000023,588.4,0.01,1.574898,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density",,False,
MgSO4,Larionov1984,experimental,49.85000000000002,588.4,0.01,2.406601,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density",,False,
MgSO4,Larionov1984,experimental,74.85000000000002,588.4,0.01,3.316422,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density",,False,
MgSO4,Larionov1984,experimental,99.85000000000002,588.4,0.01,4.25032,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density",,False,
MgSO4,Larionov1984,experimental,124.85000000000002,588.4,0.01,5.001068,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density; density reuses 373K value (PlanetProfile EOS kluge)",,False,
MgSO4,Larionov1984,experimental,149.85000000000002,588.4,0.01,5.619393,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density; density reuses 373K value (PlanetProfile EOS kluge)",,False,
MgSO4,Larionov1984,derived,-0.15,588.4,0.01,0.824022,"DERIVED, NOT MEASURED: 273K column manufactured as 0.525 x 298K value (Hand & Chyba 2007), per PlanetProfile. Exclude from model tests.",,False,
MgSO4,Larionov1984,experimental,24.850000000000023,686.5,0.01,1.49136,"Larionov & Kryukov 1984 via PlanetProfile; kappa = Lambda*b/rho (PlanetProfile Eq-1 convention; differs from molarity convention by rho^2, verify vs original for T>=373K); Millero solution density",,False,
