Salt,Temperature_C,Molality_molkg,Pressure_MPa,m_free_K,m_free_Cl,m_free_Na,m_free_Mg,m_free_SO4,m_free_Ca,m_free_NH4,m_free_CO3,m_pair_KSO4,m_pair_NaSO4,m_pair_MgSO4,m_pair_CaSO4,m_pair_NaCO3,m_pair_MgCO3,m_pair_CaCO3,m_pair_NH4SO4,I_eff,I_formal
KCl,35.0,0.001,0.1,0.001000000002674973,0.001000000002674973,1.0000000026749727e-16,1.0000000026749733e-16,1.0000000026749727e-16,1.0000000026749733e-16,1.0000000026749727e-16,1.0000000026749727e-16,1.0000000026749727e-16,1.0000000026749727e-16,1.0000000026749727e-16,1.0000000026749727e-16,1.0000000026749727e-16,1.0000000026749727e-16,1.0000000026749727e-16,1.0000000026749727e-16,0.0010001484802958803,0.001
KCl,45.0,0.001,0.1,0.0010000000037024672,0.0010000000037024672,1.0000000037024671e-16,1.0000000037024676e-16,1.0000000037024676e-16,1.0000000037024676e-16,1.0000000037024671e-16,1.0000000037024671e-16,1.0000000037024671e-16,1.0000000037024671e-16,1.0000000037024671e-16,1.0000000037024671e-16,1.0000000037024671e-16,1.0000000037024671e-16,1.0000000037024671e-16,1.0000000037024671e-16,0.001000205513646558,0.001
KCl,70.0,0.001,0.1,0.0010000000073481614,0.0010000000073481614,1.0000000073481613e-16,1.0000000073481618e-16,1.0000000073481633e-16,1.0000000073481618e-16,1.0000000073481613e-16,1.0000000073481613e-16,1.0000000073481613e-16,1.0000000073481613e-16,1.0000000073481613e-16,1.0000000073481613e-16,1.0000000073481613e-16,1.0000000073481613e-16,1.0000000073481613e-16,1.0000000073481613e-16,0.0010004078759857607,0.001
KCl,90.0,0.001,0.1,0.0010000000114241613,0.0010000000114241613,1.0000000114241615e-16,1.0000000114241618e-16,1.0000000114241618e-16,1.0000000114241618e-16,1.0000000114241615e-16,1.0000000114241615e-16,1.0000000114241615e-16,1.0000000114241615e-16,1.0000000114241615e-16,1.0000000114241615e-16,1.0000000114241615e-16,1.0000000114241615e-16,1.0000000114241615e-16,1.0000000114241615e-16,0.0010006341234072933,0.001
KCl,5.0,0.01,0.1,0.01000000000852642,0.01000000000852642,1.000000000852642e-16,1.0000000008526424e-16,1.000000000852642e-16,1.0000000008526424e-16,1.000000000852642e-16,1.000000000852642e-16,1.000000000852642e-16,1.000000000852642e-16,1.000000000852642e-16,1.000000000852642e-16,1.000000000852642e-16,1.000000000852642e-16,1.000000000852642e-16,1.000000000852642e-16,0.010000047335463346,0.01
KCl,10.0,0.01,0.1,0.01000000001072153,0.01000000001072153,1.000000001072153e-16,1.0000000010721535e-16,1.000000001072153e-16,1.0000000010721535e-16,1.000000001072153e-16,1.000000001072153e-16,1.000000001072153e-16,1.000000001072153e-16,1.000000001072153e-16,1.000000001072153e-16,1.000000001072153e-16,1.000000001072153e-16,1.000000001072153e-16,1.000000001072153e-16,0.010000059521877208,0.01
KCl,25.0,0.01,0.1,0.010000000019877935,0.010000000019877935,1.0000000019877935e-16,1.0000000019877939e-16,1.0000000019877939e-16,1.0000000019877939e-16,1.0000000019877935e-16,1.0000000019877935e-16,1.0000000019877935e-16,1.0000000019877935e-16,1.0000000019877935e-16,1.0000000019877935e-16,1.0000000019877935e-16,1.0000000019877935e-16,1.0000000019877935e-16,1.0000000019877935e-16,0.010000110354777996,0.01
KCl,35.0,0.01,0.1,0.010000000028517619,0.010000000028517619,1.000000002851762e-16,1.0000000028517624e-16,1.000000002851762e-16,1.0000000028517624e-16,1.000000002851762e-16,1.000000002851762e-16,1.000000002851762e-16,1.000000002851762e-16,1.000000002851762e-16,1.000000002851762e-16,1.000000002851762e-16,1.000000002851762e-16,1.000000002851762e-16,1.000000002851762e-16,0.01000015831904784,0.01
KCl,45.0,0.01,0.1,0.010000000039517709,0.010000000039517709,1.0000000039517708e-16,1.0000000039517712e-16,1.0000000039517708e-16,1.0000000039517712e-16,1.0000000039517708e-16,1.0000000039517708e-16,1.0000000039517708e-16,1.0000000039517708e-16,1.0000000039517708e-16,1.0000000039517708e-16,1.0000000039517708e-16,1.0000000039517708e-16,1.0000000039517708e-16,1.0000000039517708e-16,0.01000021938735938,0.01
KCl,70.0,0.01,0.1,0.01000000007869299,0.01000000007869299,1.0000000078692988e-16,1.0000000078692996e-16,1.0000000078692996e-16,1.0000000078692996e-16,1.0000000078692988e-16,1.0000000078692988e-16,1.0000000078692988e-16,1.0000000078692988e-16,1.0000000078692988e-16,1.0000000078692988e-16,1.0000000078692988e-16,1.0000000078692988e-16,1.0000000078692988e-16,1.0000000078692988e-16,0.01000043687370294,0.01
KCl,90.0,0.01,0.1,0.010000000122728822,0.010000000122728822,1.0000000122728822e-16,1.0000000122728826e-16,1.0000000122728822e-16,1.0000000122728826e-16,1.0000000122728822e-16,1.0000000122728822e-16,1.0000000122728822e-16,1.0000000122728822e-16,1.0000000122728822e-16,1.0000000122728822e-16,1.0000000122728822e-16,1.0000000122728822e-16,1.0000000122728822e-16,1.0000000122728822e-16,0.010000681343984808,0.01
KCl,5.0,0.1,0.1,0.10000000009701283,0.10000000009701283,1.0000000009701283e-16,1.0000000009701288e-16,1.0000000009701283e-16,1.0000000009701288e-16,1.0000000009701283e-16,1.0000000009701283e-16,1.0000000009701283e-16,1.0000000009701283e-16,1.0000000009701283e-16,1.0000000009701283e-16,1.0000000009701283e-16,1.0000000009701283e-16,1.0000000009701283e-16,1.0000000009701283e-16,0.10000005394517274,0.1
KCl,10.0,0.1,0.1,0.10000000012208675,0.10000000012208675,1.0000000012208672e-16,1.0000000012208679e-16,1.0000000012208672e-16,1.0000000012208679e-16,1.0000000012208672e-16,1.0000000012208672e-16,1.0000000012208672e-16,1.0000000012208672e-16,1.0000000012208672e-16,1.0000000012208672e-16,1.0000000012208672e-16,1.0000000012208672e-16,1.0000000012208672e-16,1.0000000012208672e-16,0.10000006788782372,0.1
KCl,25.0,0.1,0.1,0.10000000022697043,0.10000000022697043,1.0000000022697042e-16,1.0000000022697048e-16,1.0000000022697042e-16,1.0000000022697048e-16,1.0000000022697042e-16,1.0000000022697042e-16,1.0000000022697042e-16,1.0000000022697042e-16,1.0000000022697042e-16,1.0000000022697042e-16,1.0000000022697042e-16,1.0000000022697042e-16,1.0000000022697042e-16,1.0000000022697042e-16,0.10000012620967373,0.1
KCl,35.0,0.1,0.1,0.1000000003262976,0.1000000003262976,1.000000003262976e-16,1.0000000032629767e-16,1.000000003262976e-16,1.0000000032629767e-16,1.000000003262976e-16,1.000000003262976e-16,1.000000003262976e-16,1.000000003262976e-16,1.000000003262976e-16,1.000000003262976e-16,1.000000003262976e-16,1.000000003262976e-16,1.000000003262976e-16,1.000000003262976e-16,0.10000018144175599,0.1
KCl,45.0,0.1,0.1,0.10000000045319174,0.10000000045319174,1.0000000045319173e-16,1.0000000045319177e-16,1.0000000045319173e-16,1.0000000045319177e-16,1.0000000045319173e-16,1.0000000045319173e-16,1.0000000045319173e-16,1.0000000045319173e-16,1.0000000045319173e-16,1.0000000045319173e-16,1.0000000045319173e-16,1.0000000045319173e-16,1.0000000045319173e-16,1.0000000045319173e-16,0.10000025200277199,0.1
KCl,70.0,0.1,0.1,0.10000000090839803,0.10000000090839803,1.0000000090839802e-16,1.0000000090839807e-16,1.000000009083981e-16,1.0000000090839807e-16,1.0000000090839802e-16,1.0000000090839802e-16,1.0000000090839802e-16,1.0000000090839802e-16,1.0000000090839802e-16,1.0000000090839802e-16,1.0000000090839802e-16,1.0000000090839802e-16,1.0000000090839802e-16,1.0000000090839802e-16,0.10000050512577612,0.1
KCl,90.0,0.1,0.1,0.10000000142546411,0.10000000142546411,1.000000014254641e-16,1.0000000142546413e-16,1.000000014254641e-16,1.0000000142546413e-16,1.000000014254641e-16,1.000000014254641e-16,1.000000014254641e-16,1.000000014254641e-16,1.000000014254641e-16,1.000000014254641e-16,1.000000014254641e-16,1.000000014254641e-16,1.000000014254641e-16,1.000000014254641e-16,0.10000079264666119,0.1
KCl,5.0,0.5,0.1,0.5000000005476294,0.5000000005476294,1.0000000010952587e-16,1.0000000010952591e-16,1.0000000010952591e-16,1.0000000010952591e-16,1.0000000010952587e-16,1.0000000010952587e-16,1.0000000010952587e-16,1.0000000010952587e-16,1.0000000010952587e-16,1.0000000010952587e-16,1.0000000010952587e-16,1.0000000010952587e-16,1.0000000010952587e-16,1.0000000010952587e-16,0.5000000613412972,0.5
KCl,10.0,0.5,0.1,0.5000000006896416,0.5000000006896416,1.0000000013792831e-16,1.0000000013792836e-16,1.0000000013792836e-16,1.0000000013792836e-16,1.0000000013792831e-16,1.0000000013792831e-16,1.0000000013792831e-16,1.0000000013792831e-16,1.0000000013792831e-16,1.0000000013792831e-16,1.0000000013792831e-16,1.0000000013792831e-16,1.0000000013792831e-16,1.0000000013792831e-16,0.5000000772484325,0.5
KCl,25.0,0.5,0.1,0.5000000012851272,0.5000000012851272,1.0000000025702544e-16,1.0000000025702549e-16,1.0000000025702544e-16,1.0000000025702549e-16,1.0000000025702544e-16,1.0000000025702544e-16,1.0000000025702544e-16,1.0000000025702544e-16,1.0000000025702544e-16,1.0000000025702544e-16,1.0000000025702544e-16,1.0000000025702544e-16,1.0000000025702544e-16,1.0000000025702544e-16,0.5000001439502297,0.5
