Salt,Temperature_C,Molality_molkg,Pressure_MPa,m_free_K,m_free_Cl,m_free_Na,m_free_Mg,m_free_SO4,m_free_Ca,m_free_NH4,m_free_CO3,m_pair_KSO4,m_pair_NaSO4,m_pair_MgSO4,m_pair_CaSO4,m_pair_NaCO3,m_pair_MgCO3,m_pair_CaCO3,m_pair_NH4SO4,I_eff,I_formal
MgSO4,-6.0,0.0249,0.1,1.0000000012295376e-16,1.0000000012295376e-16,1.0000000012295379e-16,0.021107873905581796,0.021107898743317043,1.0000000012295379e-16,1.0000000012295376e-16,1.0000000012295376e-16,1.0000000012295376e-16,1.0000000012295376e-16,0.0037920787133091747,1.0000000012295376e-16,1.0000000012295376e-16,1.0000000012295376e-16,1.0000000012295376e-16,1.0000000012295376e-16,0.08443161354478478,0.0996
MgSO4,-3.0,0.0249,0.1,1.0000000014492769e-16,1.0000000014492769e-16,1.0000000014492776e-16,0.02083094424893077,0.020830973091599553,1.0000000014492776e-16,1.0000000014492769e-16,1.0000000014492769e-16,1.0000000014492769e-16,1.0000000014492769e-16,0.004068999731116486,1.0000000014492769e-16,1.0000000014492769e-16,1.0000000014492769e-16,1.0000000014492769e-16,1.0000000014492769e-16,0.08332391512495126,0.0996
MgSO4,-1.0,0.0249,0.1,1.00000000161379e-16,1.00000000161379e-16,1.0000000016137904e-16,0.02064245274986624,0.0206424845400132,1.0000000016137904e-16,1.00000000161379e-16,1.00000000161379e-16,1.00000000161379e-16,1.00000000161379e-16,0.004257484722866202,1.00000000161379e-16,1.00000000161379e-16,1.00000000161379e-16,1.00000000161379e-16,1.00000000161379e-16,0.08256996415513794,0.0996
MgSO4,5.0,0.0249,0.1,1.0000000022069767e-16,1.0000000022069767e-16,1.0000000022069773e-16,0.020061101392233546,0.02006114348891891,1.0000000022069773e-16,1.0000000022069767e-16,1.0000000022069767e-16,1.0000000022069767e-16,1.0000000022069767e-16,0.004838812362447798,1.0000000022069767e-16,1.0000000022069767e-16,1.0000000022069767e-16,1.0000000022069767e-16,1.0000000022069767e-16,0.08024461226323311,0.0996
MgSO4,20.0,0.0249,0.1,1.0000000045665245e-16,1.0000000045665245e-16,1.0000000045665252e-16,0.018541355595264528,0.018541434807907358,1.0000000045665252e-16,1.0000000045665245e-16,1.0000000045665245e-16,1.0000000045665245e-16,1.0000000045665245e-16,0.006358460776127248,1.0000000045665245e-16,1.0000000045665245e-16,1.0000000045665245e-16,1.0000000045665245e-16,1.0000000045665245e-16,0.07416583427686207,0.0996
MgSO4,25.0,0.0249,0.1,1.0000000057309392e-16,1.0000000057309392e-16,1.0000000057309399e-16,0.018026823455909804,0.018026919190187257,1.0000000057309399e-16,1.0000000057309392e-16,1.0000000057309392e-16,1.0000000057309392e-16,1.0000000057309392e-16,0.0068729435123629085,1.0000000057309392e-16,1.0000000057309392e-16,1.0000000057309392e-16,1.0000000057309392e-16,1.0000000057309392e-16,0.07210780339495478,0.0996
MgSO4,-10.0,0.3323,0.1,1.0000000037647294e-16,1.0000000037647294e-16,1.0000000037647299e-16,0.23305032904688208,0.23305038716380277,1.0000000037647294e-16,1.0000000037647294e-16,1.0000000037647294e-16,1.0000000037647294e-16,1.0000000037647294e-16,0.09924947586644767,1.0000000037647299e-16,1.0000000037647294e-16,1.0000000037647294e-16,1.0000000037647294e-16,1.0000000037647294e-16,0.9322016413872658,1.3292
MgSO4,-6.0,0.3323,0.1,1.0000000046945735e-16,1.0000000046945735e-16,1.0000000046945738e-16,0.22578609276171896,0.22578616274908328,1.0000000046945735e-16,1.0000000046945735e-16,1.0000000046945735e-16,1.0000000046945735e-16,1.0000000046945735e-16,0.10651366417954491,1.0000000046945738e-16,1.0000000046945735e-16,1.0000000046945735e-16,1.0000000046945735e-16,1.0000000046945735e-16,0.9031447715996227,1.3292
MgSO4,-3.0,0.3323,0.1,1.0000000055186539e-16,1.0000000055186539e-16,1.0000000055186547e-16,0.2203927952836241,0.22039287528253995,1.0000000055186539e-16,1.0000000055186539e-16,1.0000000055186539e-16,1.0000000055186539e-16,1.0000000055186539e-16,0.11190691913157247,1.0000000055186547e-16,1.0000000055186539e-16,1.0000000055186539e-16,1.0000000055186539e-16,1.0000000055186539e-16,0.8815716474519381,1.3292
MgSO4,-1.0,0.3323,0.1,1.0000000061362912e-16,1.0000000061362912e-16,1.0000000061362917e-16,0.21683203757378058,0.21683212480175115,1.0000000061362912e-16,1.0000000061362912e-16,1.0000000061362912e-16,1.0000000061362912e-16,1.0000000061362912e-16,0.11546764495892338,1.0000000061362917e-16,1.0000000061362912e-16,1.0000000061362912e-16,1.0000000061362912e-16,1.0000000061362912e-16,0.8673286653533702,1.3292
