Salt,Temperature_C,Molality_molkg,Pressure_MPa,m_free_K,m_free_Cl,m_free_Na,m_free_Mg,m_free_SO4,m_free_Ca,m_free_NH4,m_free_CO3,m_pair_KSO4,m_pair_NaSO4,m_pair_MgSO4,m_pair_CaSO4,m_pair_NaCO3,m_pair_MgCO3,m_pair_CaCO3,m_pair_NH4SO4,I_eff,I_formal
KCl,45.0,0.001,0.1,0.001000000003751806,0.001000000003751806,1.0000000037518064e-16,1.0000000037518064e-16,1.0000000037518084e-16,1.0000000037518064e-16,1.000000003751806e-16,1.000000003751806e-16,1.000000003751806e-16,1.000000003751806e-16,1.000000003751806e-16,1.000000003751806e-16,1.000000003751806e-16,1.000000003751806e-16,1.000000003751806e-16,1.000000003751806e-16,0.0010002082527038162,0.001
KCl,70.0,0.001,0.1,0.0010000000075229523,0.0010000000075229523,1.0000000075229526e-16,1.0000000075229526e-16,1.0000000075229533e-16,1.0000000075229526e-16,1.0000000075229522e-16,1.0000000075229522e-16,1.0000000075229522e-16,1.0000000075229522e-16,1.0000000075229522e-16,1.0000000075229522e-16,1.0000000075229522e-16,1.0000000075229522e-16,1.0000000075229522e-16,1.0000000075229522e-16,0.0010004175781491733,0.001
KCl,90.0,0.001,0.1,0.001000000011765147,0.001000000011765147,1.0000000117651474e-16,1.0000000117651474e-16,1.0000000117651474e-16,1.0000000117651474e-16,1.000000011765147e-16,1.000000011765147e-16,1.000000011765147e-16,1.000000011765147e-16,1.000000011765147e-16,1.000000011765147e-16,1.000000011765147e-16,1.000000011765147e-16,1.000000011765147e-16,1.000000011765147e-16,0.0010006530505713013,0.001
KCl,5.0,0.01,0.1,0.010000000008552477,0.010000000008552477,1.0000000008552481e-16,1.0000000008552481e-16,1.00000000085525e-16,1.0000000008552481e-16,1.0000000008552476e-16,1.0000000008552476e-16,1.0000000008552476e-16,1.0000000008552476e-16,1.0000000008552476e-16,1.0000000008552476e-16,1.0000000008552476e-16,1.0000000008552476e-16,1.0000000008552476e-16,1.0000000008552476e-16,0.010000047480111813,0.01
KCl,10.0,0.01,0.1,0.010000000009769482,0.010000000009769482,1.0000000009769486e-16,1.0000000009769486e-16,1.0000000009769486e-16,1.0000000009769486e-16,1.0000000009769483e-16,1.0000000009769483e-16,1.0000000009769483e-16,1.0000000009769483e-16,1.0000000009769483e-16,1.0000000009769483e-16,1.0000000009769483e-16,1.0000000009769483e-16,1.0000000009769483e-16,1.0000000009769483e-16,0.010000054236465942,0.01
KCl,25.0,0.01,0.1,0.010000000019987588,0.010000000019987588,1.0000000019987593e-16,1.0000000019987593e-16,1.0000000019987597e-16,1.0000000019987593e-16,1.0000000019987589e-16,1.0000000019987589e-16,1.0000000019987589e-16,1.0000000019987589e-16,1.0000000019987589e-16,1.0000000019987589e-16,1.0000000019987589e-16,1.0000000019987589e-16,1.0000000019987589e-16,1.0000000019987589e-16,0.010000110963525976,0.01
KCl,35.0,0.01,0.1,0.010000000028777462,0.010000000028777462,1.0000000028777466e-16,1.0000000028777466e-16,1.0000000028777485e-16,1.0000000028777466e-16,1.0000000028777461e-16,1.0000000028777461e-16,1.0000000028777461e-16,1.0000000028777461e-16,1.0000000028777461e-16,1.0000000028777461e-16,1.0000000028777461e-16,1.0000000028777461e-16,1.0000000028777461e-16,1.0000000028777461e-16,0.0100001597615764,0.01
KCl,45.0,0.01,0.1,0.010000000040044392,0.010000000040044392,1.0000000040044395e-16,1.0000000040044395e-16,1.0000000040044395e-16,1.0000000040044395e-16,1.0000000040044391e-16,1.0000000040044391e-16,1.0000000040044391e-16,1.0000000040044391e-16,1.0000000040044391e-16,1.0000000040044391e-16,1.0000000040044391e-16,1.0000000040044391e-16,1.0000000040044391e-16,1.0000000040044391e-16,0.010000222311316035,0.01
KCl,70.0,0.01,0.1,0.010000000080564854,0.010000000080564854,1.0000000080564855e-16,1.0000000080564855e-16,1.0000000080564863e-16,1.0000000080564855e-16,1.0000000080564852e-16,1.0000000080564852e-16,1.0000000080564852e-16,1.0000000080564852e-16,1.0000000080564852e-16,1.0000000080564852e-16,1.0000000080564852e-16,1.0000000080564852e-16,1.0000000080564852e-16,1.0000000080564852e-16,0.010000447265579426,0.01
KCl,90.0,0.01,0.1,0.010000000126391968,0.010000000126391968,1.0000000126391974e-16,1.0000000126391974e-16,1.0000000126391974e-16,1.0000000126391974e-16,1.000000012639197e-16,1.000000012639197e-16,1.000000012639197e-16,1.000000012639197e-16,1.000000012639197e-16,1.000000012639197e-16,1.000000012639197e-16,1.000000012639197e-16,1.000000012639197e-16,1.000000012639197e-16,0.010000701680395062,0.01
