Salt,Temperature_C,Molality_molkg,m_free_K,m_free_Cl,m_free_Na,m_free_Mg,m_free_SO4,m_pair_KSO4,m_pair_NaSO4,m_pair_MgSO4,I_eff,I_formal
KCl,35.0,0.1,0.10000000032927067,0.10000000032927067,1.0000000032927068e-16,1.0000000032927068e-16,1.0000000032927072e-16,1.0000000032927068e-16,1.0000000032927068e-16,1.0000000032927068e-16,0.10000018309496643,0.1
KCl,45.0,0.1,0.10000000045923177,0.10000000045923177,1.0000000045923176e-16,1.0000000045923176e-16,1.0000000045923192e-16,1.0000000045923176e-16,1.0000000045923176e-16,1.0000000045923176e-16,0.10000025536141824,0.1
KCl,70.0,0.1,0.10000000093000598,0.10000000093000598,1.0000000093000598e-16,1.0000000093000598e-16,1.0000000093000621e-16,1.0000000093000598e-16,1.0000000093000598e-16,1.0000000093000598e-16,0.10000051714113925,0.1
KCl,90.0,0.1,0.10000000146801052,0.10000000146801052,1.0000000146801051e-16,1.0000000146801051e-16,1.0000000146801056e-16,1.0000000146801051e-16,1.0000000146801051e-16,1.0000000146801051e-16,0.10000081630511565,0.1
KCl,5.0,0.5,0.5000000005493028,0.5000000005493028,1.0000000010986055e-16,1.0000000010986055e-16,1.000000001098606e-16,1.0000000010986055e-16,1.0000000010986055e-16,1.0000000010986055e-16,0.5000000615287445,0.5
KCl,10.0,0.5,0.5000000006915599,0.5000000006915599,1.0000000013831199e-16,1.0000000013831199e-16,1.0000000013831214e-16,1.0000000013831199e-16,1.0000000013831199e-16,1.0000000013831199e-16,0.5000000774633091,0.5
KCl,25.0,0.5,0.5000000012922162,0.5000000012922162,1.0000000025844326e-16,1.0000000025844326e-16,1.000000002584435e-16,1.0000000025844326e-16,1.0000000025844326e-16,1.0000000025844326e-16,0.5000001447442989,0.5
KCl,35.0,0.5,0.5000000018677289,0.5000000018677289,1.0000000037354578e-16,1.0000000037354578e-16,1.0000000037354581e-16,1.0000000037354578e-16,1.0000000037354578e-16,1.0000000037354578e-16,0.50000020920886,0.5
KCl,45.0,0.5,0.5000000026100889,0.5000000026100889,1.0000000052201778e-16,1.0000000052201778e-16,1.0000000052201786e-16,1.0000000052201778e-16,1.0000000052201778e-16,1.0000000052201778e-16,0.5000002923624183,0.5
KCl,70.0,0.5,0.5000000053161835,0.5000000053161835,1.0000000106323669e-16,1.0000000106323669e-16,1.0000000106323669e-16,1.0000000106323693e-16,1.0000000106323669e-16,1.0000000106323669e-16,0.5000005954786431,0.5
KCl,90.0,0.5,0.5000000084368069,0.5000000084368069,1.0000000168736141e-16,1.0000000168736141e-16,1.0000000168736141e-16,1.0000000168736144e-16,1.0000000168736141e-16,1.0000000168736141e-16,0.5000009450272735,0.5
KCl,5.0,1.0,1.0000000011529195,1.0000000011529195,1.0000000011529197e-16,1.0000000011529197e-16,1.0000000011529222e-16,1.0000000011529197e-16,1.0000000011529197e-16,1.0000000011529197e-16,1.0000000651471308,1.0
