Salt,Temperature_C,Molality_molkg,Pressure_MPa,m_free_K,m_free_Cl,m_free_Na,m_free_Mg,m_free_SO4,m_free_Ca,m_free_NH4,m_free_CO3,m_pair_KSO4,m_pair_NaSO4,m_pair_MgSO4,m_pair_CaSO4,m_pair_NaCO3,m_pair_MgCO3,m_pair_CaCO3,m_pair_NH4SO4,I_eff,I_formal
MgSO4,-6.0,0.0249,0.1,1.0000000010747846e-16,1.0000000010747846e-16,1.0000000010747852e-16,0.015356997540011049,0.015357019095416116,1.0000000010747852e-16,1.0000000010747846e-16,1.0000000010747846e-16,1.0000000010747846e-16,1.0000000010747846e-16,0.00954296410821294,1.0000000010747846e-16,1.0000000010747846e-16,1.0000000010747846e-16,1.0000000010747846e-16,1.0000000010747846e-16,0.06142809292809265,0.0996
MgSO4,-3.0,0.0249,0.1,1.000000001256954e-16,1.000000001256954e-16,1.0000000012569544e-16,0.01490488567574303,0.014904910546224505,1.0000000012569544e-16,1.000000001256954e-16,1.000000001256954e-16,1.000000001256954e-16,1.000000001256954e-16,0.00999506950522855,1.000000001256954e-16,1.000000001256954e-16,1.000000001256954e-16,1.000000001256954e-16,1.000000001256954e-16,0.059619662212695566,0.0996
MgSO4,-1.0,0.0249,0.1,1.0000000013922134e-16,1.0000000013922134e-16,1.0000000013922139e-16,0.01460799047067576,0.014608017769404107,1.0000000013922139e-16,1.0000000013922134e-16,1.0000000013922134e-16,1.0000000013922134e-16,1.0000000013922134e-16,0.010291959890186511,1.0000000013922134e-16,1.0000000013922134e-16,1.0000000013922134e-16,1.0000000013922134e-16,1.0000000013922134e-16,0.05843209375706187,0.0996
MgSO4,5.0,0.0249,0.1,1.0000000018732387e-16,1.0000000018732387e-16,1.0000000018732391e-16,0.013742299406734838,0.013742335142602882,1.0000000018732391e-16,1.0000000018732387e-16,1.0000000018732387e-16,1.0000000018732387e-16,1.0000000018732387e-16,0.011157633682562548,1.0000000018732387e-16,1.0000000018732387e-16,1.0000000018732387e-16,1.0000000018732387e-16,1.0000000018732387e-16,0.05496937307545128,0.0996
MgSO4,20.0,0.0249,0.1,1.0000000037145888e-16,1.0000000037145888e-16,1.0000000037145893e-16,0.01177163586862449,0.011771701656243147,1.0000000037145893e-16,1.0000000037145888e-16,1.0000000037145888e-16,1.0000000037145888e-16,1.0000000037145888e-16,0.01312822932420407,1.0000000037145888e-16,1.0000000037145888e-16,1.0000000037145888e-16,1.0000000037145888e-16,1.0000000037145888e-16,0.04708688123251203,0.0996
MgSO4,25.0,0.0249,0.1,1.0000000045937872e-16,1.0000000045937872e-16,1.0000000045937877e-16,0.011181583130419401,0.01118166225163479,1.0000000045937877e-16,1.0000000045937872e-16,1.0000000045937872e-16,1.0000000045937872e-16,1.0000000045937872e-16,0.01371824875944647,1.0000000045937872e-16,1.0000000045937872e-16,1.0000000045937872e-16,1.0000000045937872e-16,1.0000000045937872e-16,0.044726745747866246,0.0996
MgSO4,-10.0,0.3323,0.1,1.0000000021604193e-16,1.0000000021604193e-16,1.00000000216042e-16,0.041548354732142016,0.04154838232330408,1.0000000021604193e-16,1.0000000021604193e-16,1.0000000021604193e-16,1.0000000021604193e-16,1.0000000021604193e-16,0.2907515366390406,1.00000000216042e-16,1.0000000021604193e-16,1.0000000021604193e-16,1.0000000021604193e-16,1.0000000021604193e-16,0.1661935940276085,1.3292
MgSO4,-6.0,0.3323,0.1,1.0000000033092037e-16,1.0000000033092037e-16,1.0000000033092044e-16,0.13398715285533402,0.13398720568244046,1.0000000033092044e-16,1.0000000033092037e-16,1.0000000033092037e-16,1.0000000033092037e-16,1.0000000033092037e-16,0.19831268241378447,1.0000000033092037e-16,1.0000000033092037e-16,1.0000000033092037e-16,1.0000000033092037e-16,1.0000000033092037e-16,0.5359489007569397,1.3292
MgSO4,-3.0,0.3323,0.1,1.000000003848558e-16,1.000000003848558e-16,1.0000000038485586e-16,0.12851611520393297,0.1285161752933653,1.0000000038485586e-16,1.000000003848558e-16,1.000000003848558e-16,1.000000003848558e-16,1.000000003848558e-16,0.2037836935647471,1.000000003848558e-16,1.000000003848558e-16,1.000000003848558e-16,1.000000003848558e-16,1.000000003848558e-16,0.5140647946134975,1.3292
MgSO4,-1.0,0.3323,0.1,1.0000000042493896e-16,1.0000000042493896e-16,1.0000000042493902e-16,0.12500868541349877,0.12500875074117518,1.0000000042493902e-16,1.0000000042493896e-16,1.0000000042493896e-16,1.0000000042493896e-16,1.0000000042493896e-16,0.2072911036624219,1.0000000042493896e-16,1.0000000042493896e-16,1.0000000042493896e-16,1.0000000042493896e-16,1.0000000042493896e-16,0.5000351081768875,1.3292
