Salt,Temperature_C,Molality_molkg,Pressure_MPa,m_free_K,m_free_Cl,m_free_Na,m_free_Mg,m_free_SO4,m_free_Ca,m_free_NH4,m_free_CO3,m_pair_KSO4,m_pair_NaSO4,m_pair_MgSO4,m_pair_CaSO4,m_pair_NaCO3,m_pair_MgCO3,m_pair_CaCO3,m_pair_NH4SO4,I_eff,I_formal
MgSO4,5.0,0.3323,0.1,1.0000000091903215e-16,1.0000000091903215e-16,1.0000000091903222e-16,0.23553275681013958,0.23553287789558322,1.0000000091903215e-16,1.0000000091903215e-16,1.0000000091903215e-16,1.0000000091903215e-16,1.0000000091903215e-16,0.09676676403243045,1.0000000091903222e-16,1.0000000091903215e-16,1.0000000091903215e-16,1.0000000091903215e-16,1.0000000091903215e-16,0.9421317795314269,1.3292
MgSO4,20.0,0.3323,0.1,1.0000000194204997e-16,1.0000000194204997e-16,1.0000000194205001e-16,0.21299010350638617,0.2129903144721115,1.0000000194204997e-16,1.0000000194204997e-16,1.0000000194204997e-16,1.0000000194204997e-16,1.0000000194204997e-16,0.1193088819435036,1.0000000194205001e-16,1.0000000194204997e-16,1.0000000194204997e-16,1.0000000194204997e-16,1.0000000194204997e-16,0.8519619139154618,1.3292
MgSO4,25.0,0.3323,0.1,1.0000000246070742e-16,1.0000000246070742e-16,1.0000000246070746e-16,0.20586869018917184,0.20586893848601356,1.0000000246070742e-16,1.0000000246070742e-16,1.0000000246070742e-16,1.0000000246070742e-16,1.0000000246070742e-16,0.12643002287205,1.0000000246070746e-16,1.0000000246070742e-16,1.0000000246070742e-16,1.0000000246070742e-16,1.0000000246070742e-16,0.8234766231959713,1.3292
MgSO4,-10.0,0.6646,0.1,1.0000000064196599e-16,1.0000000064196599e-16,1.0000000064196603e-16,0.4715937563438751,0.47159385624835864,1.0000000064196599e-16,1.0000000064196599e-16,1.0000000064196599e-16,1.0000000064196599e-16,1.0000000064196599e-16,0.19300590064719822,1.0000000064196603e-16,1.0000000064196599e-16,1.0000000064196599e-16,1.0000000064196599e-16,1.0000000064196599e-16,1.8863755815155026,2.6584
MgSO4,-6.0,0.6646,0.1,1.0000000079966337e-16,1.0000000079966337e-16,1.0000000079966342e-16,0.4580579553980737,0.4580580749681881,1.0000000079966337e-16,1.0000000079966337e-16,1.0000000079966337e-16,1.0000000079966337e-16,1.0000000079966337e-16,0.20654161761908246,1.0000000079966342e-16,1.0000000079966337e-16,1.0000000079966337e-16,1.0000000079966337e-16,1.0000000079966337e-16,1.8322325045954053,2.6584
MgSO4,-3.0,0.6646,0.1,1.0000000093949233e-16,1.0000000093949233e-16,1.0000000093949238e-16,0.4480354357876373,0.44803557183531634,1.0000000093949233e-16,1.0000000093949233e-16,1.0000000093949233e-16,1.0000000093949233e-16,1.0000000093949233e-16,0.21656406278493162,1.0000000093949238e-16,1.0000000093949233e-16,1.0000000093949233e-16,1.0000000093949233e-16,1.0000000093949233e-16,1.792142536722571,2.6584
MgSO4,-1.0,0.6646,0.1,1.0000000104434948e-16,1.0000000104434948e-16,1.0000000104434952e-16,0.44142951396335267,0.4414296618547887,1.0000000104434948e-16,1.0000000104434948e-16,1.0000000104434948e-16,1.0000000104434948e-16,1.0000000104434948e-16,0.2231699287876354,1.0000000104434952e-16,1.0000000104434948e-16,1.0000000104434948e-16,1.0000000104434948e-16,1.0000000104434948e-16,1.7657189313151627,2.6584
MgSO4,5.0,0.6646,0.1,1.0000000142406929e-16,1.0000000142406929e-16,1.0000000142406934e-16,0.42204560028250904,0.4220457880101163,1.0000000142406929e-16,1.0000000142406929e-16,1.0000000142406929e-16,1.0000000142406929e-16,1.0000000142406929e-16,0.24255364031929494,1.0000000142406934e-16,1.0000000142406929e-16,1.0000000142406929e-16,1.0000000142406929e-16,1.0000000142406929e-16,1.6881835670322358,2.6584
MgSO4,20.0,0.6646,0.1,1.0000000296475158e-16,1.0000000296475158e-16,1.0000000296475162e-16,0.3771216861488809,0.37712200341772306,1.0000000296475158e-16,1.0000000296475158e-16,1.0000000296475158e-16,1.0000000296475158e-16,1.0000000296475158e-16,0.28747673364606335,1.0000000296475162e-16,1.0000000296475158e-16,1.0000000296475158e-16,1.0000000296475158e-16,1.0000000296475158e-16,1.508489024754647,2.6584
MgSO4,25.0,0.6646,0.1,1.0000000374238161e-16,1.0000000374238161e-16,1.0000000374238167e-16,0.36342629747645844,0.36342666766274456,1.0000000374238161e-16,1.0000000374238161e-16,1.0000000374238161e-16,1.0000000374238161e-16,1.0000000374238161e-16,0.30117170754967315,1.0000000374238167e-16,1.0000000374238161e-16,1.0000000374238161e-16,1.0000000374238161e-16,1.0000000374238161e-16,1.4537080075328568,2.6584
